"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Pfaadt, Brandon",694297,"AZ","ST","Sweeper",0.9,4,"435",27,"147","0.18","0.323","0.264",33.7,32,25.1,"0.18","0.316","0.245",36
"Ragans, Cole",666142,"KC","FF","4-Seam Fastball",-0.2,-1,"636",40.1,"147","0.234","0.411","0.341",27.9,32.7,22.4,"0.193","0.358","0.305",52.6
"Hudson, Dakota",641712,"STL","SI","Sinker",-0.1,-1,"495",37.6,"147","0.303","0.523","0.387",7.3,1.4,3.1,"0.322","0.559","0.406",51.5
"García, Luis",472610,"SD","SI","Sinker",0.2,1,"449",44.5,"147","0.328","0.438","0.392",14.5,7.5,15.1,"0.316","0.434","0.367",42
"Nardi, Andrew",677053,"MIA","FF","4-Seam Fastball",1.2,7,"587",61.3,"146","0.224","0.336","0.307",25.5,25.3,18.6,"0.208","0.308","0.288",33.7
"Keller, Mitch",656605,"PIT","ST","Sweeper",-0.3,-2,"501",16.1,"146","0.221","0.324","0.286",27.2,27.4,15.9,"0.259","0.395","0.309",30.2
"Cuas, Jose",621016,"CHC","SI","Sinker",0.7,4,"581",49.4,"146","0.289","0.372","0.366",16.9,11.6,15.3,"0.312","0.474","0.398",43.3
"Freeland, Kyle",607536,"COL","CU","Curveball",-1.8,-8,"426",17.6,"146","0.259","0.407","0.313",32.3,33.6,20.9,"0.227","0.374","0.286",36.8
"Merryweather, Julian",657240,"CHC","FF","4-Seam Fastball",0.5,3,"501",40.8,"145","0.248","0.372","0.365",20.2,21.4,22.6,"0.251","0.446","0.387",54.2
"Thompson, Mason",666168,"WSH","SI","Sinker",-2.1,-11,"501",56,"145","0.372","0.545","0.436",11.9,10.3,17,"0.307","0.483","0.395",41.3
"Harris, Hogan",663687,"OAK","FF","4-Seam Fastball",-0.9,-5,"520",46.9,"145","0.252","0.445","0.379",21.8,21.4,19,"0.239","0.438","0.355",51.7
"Burke, Brock",656271,"TEX","FF","4-Seam Fastball",0.7,4,"589",64.4,"144","0.234","0.423","0.298",19.9,19.4,15.2,"0.23","0.382","0.274",35.1
